Município,Hipertensão,Diabetes Tipo 1,Diabetes Tipo 2,Hiper_c/_Diabete
350010 Adamantina,3380,21,147,951
350020 Adolfo,529,27,11,198
350040 Águas da Prata,611,42,56,513
350050 Águas de Lindóia,40,-,1,16
350055 Águas de Santa Bárbara,2,-,6,45
350060 Águas de São Pedro,28,3,13,25
350070 Agudos,2982,43,160,1036
350075 Alambari,214,7,13,91
350100 Altinópolis,1761,7,45,428
350110 Alto Alegre,285,4,7,59
350115 Alumínio,1432,27,110,678
350120 Álvares Florence,559,22,35,223
350130 Álvares Machado,1251,15,26,291
350140 Álvaro de Carvalho,202,1,5,61
350150 Alvinlândia,423,12,8,160
350160 Americana,2600,133,376,1892
350170 Américo Brasiliense,1850,54,65,582
350180 Américo de Campos,388,14,8,162
350190 Amparo,3127,31,141,958
350200 Analândia,557,23,36,124
350210 Andradina,3628,93,386,1573
350220 Angatuba,4398,54,151,1014
350230 Anhembi,79,1,3,45
350240 Anhumas,156,4,9,45
350250 Aparecida,263,8,12,109
350260 Aparecida d'Oeste,358,7,19,83
350270 Apiaí,3634,18,108,912
350275 Araçariguama,1021,18,43,666
350280 Araçatuba,6461,64,225,1579
350290 Araçoiaba da Serra,293,3,31,171
350300 Aramina,790,17,33,207
350310 Arandu,1012,5,39,225
350315 Arapeí,420,7,9,83
350320 Araraquara,9347,142,687,3463
350330 Araras,4188,122,356,2049
350335 Arco-Íris,72,-,3,19
350340 Arealva,583,7,49,210
350350 Areias,769,6,17,147
350360 Areiópolis,762,27,76,314
350370 Ariranha,477,1,11,147
350380 Artur Nogueira,616,3,29,258
350390 Arujá,3146,17,151,1423
350395 Aspásia,82,1,2,34
350400 Assis,1269,6,27,421
350410 Atibaia,10446,152,395,3931
350420 Auriflama,880,9,34,349
350430 Avaí,262,2,22,80
350440 Avanhandava,572,7,25,181
350450 Avaré,408,9,26,198
350460 Bady Bassitt,1511,35,70,374
350470 Balbinos,102,1,1,19
350480 Bálsamo,685,20,9,210
350490 Bananal,105,-,4,32
350510 Barbosa,527,5,20,171
350520 Bariri,2223,47,63,631
350530 Barra Bonita,2207,61,221,1072
350535 Barra do Chapéu,953,6,25,241
350550 Barretos,910,17,60,560
350560 Barrinha,1339,31,52,624
350570 Barueri,3330,51,186,1689
350580 Bastos,2547,42,98,718
350590 Batatais,2805,41,95,1115
350600 Bauru,12419,169,785,5390
350610 Bebedouro,2775,220,337,1751
350620 Bento de Abreu,286,2,28,99
350630 Bernardino de Campos,28,3,31,195
350635 Bertioga,1870,51,187,1087
350640 Bilac,1784,29,52,409
350650 Birigui,9848,318,650,3443
350660 Biritiba-Mirim,1328,18,28,507
350670 Boa Esperança do Sul,1551,39,144,469
350680 Bocaina,371,2,18,95
350690 Bofete,982,14,64,379
350700 Boituva,3314,23,153,937
350720 Borá,56,-,6,18
350730 Boracéia,110,2,6,44
350740 Borborema,2051,24,115,578
350745 Borebi,286,11,32,98
350760 Bragança Paulista,18691,461,712,5199
350770 Braúna,517,11,25,219
350775 Brejo Alegre,235,2,9,37
350780 Brodowski,1878,31,57,504
350790 Brotas,1692,38,26,571
350800 Buri,732,11,33,204
350810 Buritama,1474,33,89,693
350820 Buritizal,480,8,22,98
350830 Cabrália Paulista,406,1,4,221
350840 Cabreúva,731,17,46,543
350850 Caçapava,5910,180,365,2401
350860 Cachoeira Paulista,2533,71,170,1040
350870 Caconde,1494,12,65,472
350880 Cafelândia,454,9,21,133
350900 Caieiras,2755,119,221,2225
